artist_name,genre,num_songs,avg_popularity
!!!,Alternative,1,52.0
!!!,Children's Music,1,61.0
!!!,Dance,2,54.5
!!!,Electronic,34,40.1764705882353
!!!,Indie,1,61.0
!!!,Rock,1,61.0
"""Weird Al"" Yankovic",Comedy,59,30.54237288135593
"""Weird Al"" Yankovic",Rock,1,53.0
$NOT,Hip-Hop,4,55.75
$olal,Jazz,1,48.0
$teven Cannon,Hip-Hop,1,59.0
$tupid Young,Rap,2,56.5
$uicideBoy$,Hip-Hop,111,58.549549549549546
$uicideBoy$,Rap,73,61.54794520547945
'Til Tuesday,Dance,1,56.0
'Til Tuesday,Rock,1,57.0
(G)I-DLE,Pop,3,73.33333333333333
(Hed) P.E.,Alternative,2,44.5
(Hed) P.E.,Children's Music,1,49.0
(Sandy) Alex G,Alternative,3,50.333333333333336
(Sandy) Alex G,Children's Music,1,49.0
(Sandy) Alex G,Folk,11,44.81818181818182
(Sandy) Alex G,Indie,7,47.0
*NSYNC,Dance,17,55.35294117647059
*NSYNC,Pop,8,63.125
03 Greedo,Hip-Hop,5,53.8
03 Greedo,Rap,3,56.0
04 Limited Sazabys,Anime,13,35.0
070 Shake,Hip-Hop,5,55.6
070 Shake,Rap,2,60.5
070 Shake,Soul,13,48.92307692307692
10 Ft. Ganja Plant,Reggae,55,28.854545454545455
10 Years,Alternative,7,48.857142857142854
10 Years,Children's Music,7,53.0
10 Years,Rap,4,57.75
10 Years,Rock,4,57.75
"10,000 Maniacs",Children's Music,2,57.5
"10,000 Maniacs",Folk,2,58.0
"10,000 Maniacs",Pop,1,64.0
"10,000 Maniacs",Rock,1,64.0
1000mods,Blues,2,43.0
1010 Benja SL,R&B,2,45.0
10cc,Dance,2,67.5
10cc,Folk,2,67.5
10cc,Rock,3,67.33333333333333
11 Acorn Lane,Jazz,7,40.0
112,Dance,9,58.888888888888886
112,Hip-Hop,9,59.44444444444444
112,Pop,2,65.5
112,R&B,9,59.44444444444444
112,Rap,8,60.625
112,Soul,13,55.15384615384615
116,Hip-Hop,2,49.5
11:11,Alternative,5,52.0
11:11,Children's Music,3,56.333333333333336
11:11,Indie,2,59.0
11:11,R&B,5,51.2
11:11,Soul,5,51.2
12 Stones,Alternative,5,48.0
12 Stones,Children's Music,5,51.0
12 Stones,Rock,1,57.0
12AM,Soul,5,42.4
12th Planet,Electronic,28,33.607142857142854
164,Anime,4,18.25
1788-L,Electronic,9,41.22222222222222
1814,Reggae,7,43.0
1K Phew,Hip-Hop,6,48.0
1takejay,Rap,3,53.666666666666664
2 Chainz,Hip-Hop,48,59.979166666666664
2 Chainz,Pop,24,68.875
2 Chainz,Rap,36,63.97222222222222
2 LIVE CREW,Hip-Hop,3,51.666666666666664
2 LIVE CREW,Rap,1,53.0
2 Unlimited,Dance,2,58.5
2 minutos,Ska,2,43.0
21 Savage,Hip-Hop,45,67.42222222222222
21 Savage,Pop,30,70.86666666666666
21 Savage,Rap,45,67.42222222222222
22Gz,Rap,1,52.0
23 Skunks,Ska,6,15.166666666666666
24hrs,Hip-Hop,3,57.333333333333336
24hrs,R&B,9,51.22222222222222
24hrs,Rap,3,57.333333333333336
24hrs,Soul,13,47.30769230769231
27CLUB,Rap,1,53.0
2Baba,Hip-Hop,1,54.0
2NE1,Dance,6,56.333333333333336
2NE1,Pop,1,66.0
2Pac,Hip-Hop,43,61.41860465116279
2Pac,Pop,13,69.3076923076923
2Pac,Rap,63,59.03174603174603
2nd Exit,Jazz,2,45.0
2xxx!,R&B,1,46.0
3 Doors Down,Alternative,17,52.411764705882355
3 Doors Down,Children's Music,14,57.857142857142854
3 Doors Down,Pop,4,71.5
3 Doors Down,Rock,8,64.25
3-11 Porter,Jazz,1,40.0
311,Alternative,41,43.4390243902439
311,Children's Music,14,50.07142857142857
311,Pop,2,63.5
311,Reggae,140,33.18571428571428
311,Rock,6,58.833333333333336
330am,Reggae,1,35.0
36,World,15,32.93333333333333
38 Special,Country,5,55.8
38 Special,Folk,5,56.2
38 Special,Rock,5,56.2
3BallMTY,Indie,2,52.5
3LAU,Dance,7,57.42857142857143
3LAU,Electronic,36,44.30555555555556
3LAU,Pop,2,65.0
3LW,R&B,2,54.5
3OH!3,Dance,12,52.416666666666664
3OH!3,Pop,3,63.333333333333336
3OH!3,Rap,4,61.0
3rd Force,Jazz,2,39.5
4 Non Blondes,Pop,1,80.0
4 Non Blondes,Rock,1,80.0
40mP,Anime,17,22.470588235294116
451,Soul,1,45.0
4B,Electronic,9,38.111111111111114
4Men,World,9,35.0
4Minute,Dance,2,61.0
4Minute,Pop,1,63.0
5 Seconds of Summer,Dance,75,57.54666666666667
5 Seconds of Summer,Pop,29,65.86206896551724
5'nizza,Reggae,1,41.0
50 Cent,Hip-Hop,35,58.94285714285714
50 Cent,Pop,8,70.625
50 Cent,Rap,34,59.23529411764706
6 Dogs,Hip-Hop,12,57.083333333333336
6 Dogs,Rap,10,58.3
641,Country,2,50.0
641,Pop,1,60.0
65daysofstatic,Rock,1,54.0
6LACK,Alternative,34,58.5
6LACK,Children's Music,34,64.8529411764706
6LACK,Hip-Hop,28,65.92857142857143
6LACK,Pop,23,67.95652173913044
6LACK,R&B,34,65.11764705882354
6LACK,Rap,27,65.96296296296296
6cyclemind,Children's Music,2,62.5
6ix9ine,Rap,26,72.92307692307692
6obby,Rap,1,53.0
6u5,Jazz,1,41.0
702,Pop,1,65.0
702,R&B,4,52.75
702,Soul,4,52.75
77 Jefferson,Reggae,11,27.90909090909091
7AM,Soul,2,45.0
7Horse,Blues,4,30.75
7eventh Time Down,Alternative,3,46.333333333333336
7eventh Time Down,Children's Music,3,50.666666666666664
7eventh Time Down,Rock,2,52.5
8 Kalacas,Ska,18,22.444444444444443
808 State,Electronic,3,41.666666666666664
86 the Effort,Reggae,1,19.0
88-Keys,Alternative,3,50.0
880 South,Reggae,2,25.5
888,Children's Music,2,50.0
888,Indie,2,50.5
888,Rock,1,56.0
88GLAM,Hip-Hop,26,58.15384615384615
88GLAM,Pop,8,65.375
88GLAM,Rap,17,61.23529411764706
88GLAM,Soul,32,56.21875
916frosty,Rap,2,54.5
93FEETOFSMOKE,Hip-Hop,1,54.0
93FEETOFSMOKE,Rap,1,54.0
98º,Dance,5,49.0
98º,Pop,1,58.0
9th Wonder,Alternative,1,47.0
9th Wonder,Children's Music,1,53.0
9th Wonder,Hip-Hop,1,54.0
9th Wonder,Soul,2,49.0
? & The Mysterians,Rock,1,53.0
A Beacon School,Indie,1,51.0
A Blaze of Feather,Folk,2,56.5
A Blaze of Feather,Indie,2,56.5
A Boogie Wit da Hoodie,Rap,60,65.21666666666667
A Day To Remember,Pop,11,62.72727272727273
A Fine Frenzy,Folk,4,42.75
A Flock Of Seagulls,Dance,4,54.75
A Flock Of Seagulls,Rock,2,56.5
A Forest Mighty Black,Jazz,1,39.0
A Great Big World,Pop,2,72.0
A Great Big World,Rock,4,62.75
A Perfect Circle,Alternative,33,48.90909090909091
A Perfect Circle,Children's Music,33,53.18181818181818
A Perfect Circle,Rap,8,60.25
A Perfect Circle,Rock,21,56.42857142857143
A R I Z O N A,Indie,19,59.21052631578947
A R I Z O N A,Pop,7,63.714285714285715
A R I Z O N A,Rock,11,62.27272727272727
A Rocket To The Moon,Alternative,2,52.0
A Rocket To The Moon,Children's Music,1,57.0
A Thousand Horses,Country,6,44.333333333333336
A Touch Of Class,Dance,1,56.0
