feature,genre,lasso_importance,randomforest_importance,avg_importance
artist_name,All,0.0,0.24981188757491357,0.16654125838327571
track_name,All,0.0,0.12519262047116733,0.08346174698077823
track_id,All,0.0,0.11308916427979639,0.07539277618653092
acousticness,All,-0.27355257639154795,1.0000000000000002,0.7578508587971827
danceability,All,0.0,0.1351485695477103,0.0900990463651402
duration_ms,All,0.0,0.2531638599612487,0.16877590664083245
energy,All,0.0,0.12304324592323147,0.08202883061548764
instrumentalness,All,-0.055238512180589554,0.13952992607057588,0.1114327881072471
liveness,All,-0.09090683986477306,0.12391527606595733,0.11291246399889592
loudness,All,0.4030211246760369,0.2757025433843636,0.31814207048158805
speechiness,All,-0.047528106187476805,0.23341033422171578,0.17144959154363612
tempo,All,0.0,0.12027872523343974,0.08018581682229316
valence,All,-0.0654797362936379,0.16164056558718143,0.1295869558226669
genre_A Capella,All,-0.00496253080825587,0.010200703384887936,0.008454645859343914
genre_Alternative,All,0.27397455199324955,0.030516159628413607,0.11166895708335893
genre_Anime,All,-0.5418088523571469,0.27428032023550414,0.36345649760938503
genre_Blues,All,-0.07128852522765441,0.05396939802061693,0.059742440422962756
genre_Children's Music,All,-0.06664086602638834,0.23110257660536476,0.1762820064123726
genre_Classical,All,-0.07131590436734042,0.03545597001304067,0.04740928146447392
genre_Comedy,All,-0.4904511043584763,0.07449519179141333,0.21314716264710099
genre_Country,All,0.11341947553410768,0.029200273472836026,0.057273340826593244
genre_Dance,All,0.5527575059604056,0.10296389512155336,0.2528950987345041
genre_Electronic,All,0.0,0.04110223595604872,0.027401490637365813
genre_Folk,All,0.3481255112167547,0.033147926698652755,0.1381404548713534
genre_Hip-Hop,All,0.6433151451943584,0.11322222565953624,0.28991986550447696
genre_Indie,All,0.5177854164646993,0.06981222263257385,0.21913662057661568
genre_Jazz,All,0.0,0.03025283626193106,0.02016855750795404
genre_Movie,All,-0.8634059025743469,0.40599580586396017,0.5584658381007558
genre_Opera,All,-0.740382759957198,0.18977253873500385,0.3733092791424019
genre_Pop,All,1.0,0.34775120131165277,0.5651674675411019
genre_R&B,All,0.38866575646156704,0.041433309711882554,0.15717745862844404
genre_Rap,All,0.726512869096711,0.1179288257853939,0.32079017355583295
genre_Reggae,All,-0.10242258105144951,0.09308231115250871,0.09619573445215564
genre_Rock,All,0.6977939336655813,0.11807147245197157,0.31131229285650813
genre_Ska,All,-0.3967489053905378,0.2070177022770185,0.27026143664819163
genre_Soul,All,0.19295261461396437,0.027179299652570897,0.08243707130636872
genre_Soundtrack,All,0.0,0.022788470366837225,0.015192313577891484
genre_World,All,-0.017281960902675284,0.05160417201075238,0.04016343497472668
key_A,All,0.0,0.00816633257996963,0.005444221719979753
key_A#,All,0.0,0.007253314293412395,0.00483554286227493
key_B,All,0.0,0.0076697111719367765,0.005113140781291184
key_C,All,0.0,0.009232903854599257,0.006155269236399505
