genre,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,max_improvement
Country,A Thousand Horses,45,0.00192,0.327,194107,0.835,0.00015,C,0.167,-4.952,Major,0.0609,171.795,4/4,0.385,8.179993516139584
Soundtrack,Mark Mothersbaugh,25,0.932,0.253,102920,0.0798,0.568,C,0.0906,-18.512,Major,0.0439,110.931,4/4,0.0487,11.00746606235097
Reggae,Unified Highway,19,0.0331,0.821,225437,0.737,0.0134,E,0.132,-6.295,Minor,0.212,137.968,4/4,0.787,17.117528439257974
Electronic,Stooki Sound,29,0.00428,0.745,225400,0.772,0.114,E,0.0722,-3.949,Major,0.0904,133.113,4/4,0.17,15.49640928966125
Comedy,Bill Hicks,17,0.965,0.502,287973,0.804,9.56e-05,G,0.902,-9.935,Major,0.807,104.576,3/4,0.185,14.876551620936278
Children's Music,Sugar Kane Music,16,0.715,0.787,133787,0.224,0.0,B,0.138,-9.607,Major,0.0366,146.054,3/4,0.657,13.559257611218124
Pop,Justin Timberlake,63,0.382,0.62,243040,0.497,0.0482,A,0.193,-9.585,Minor,0.119,155.908,4/4,0.55,9.902371078051432
Hip-Hop,Lil Keke,51,0.0298,0.929,299733,0.61,0.0,B,0.0958,-6.064,Minor,0.321,136.081,4/4,0.868,14.94848274775527
Country,Cole Swindell,41,0.0709,0.57,161040,0.715,0.0,C#,0.0745,-3.399,Major,0.044,148.032,4/4,0.831,11.303873353898274
Soul,Hayden James,65,0.0216,0.709,343800,0.669,0.0125,B,0.146,-8.422,Minor,0.0409,105.004,4/4,0.106,-0.25678557097980104
Comedy,Martin Lawrence,18,0.66,0.648,72800,0.414,0.0,A#,0.882,-20.418,Major,0.949,88.283,4/4,0.524,7.775393360997675
Ska,Reel Big Fish,19,0.167,0.529,450093,0.643,5.78e-06,A,0.355,-7.51,Minor,0.0415,96.536,4/4,0.664,14.727883479514388
Anime,Ayumi Hamasaki,27,0.938,0.543,258100,0.339,1.12e-05,G#,0.351,-8.523,Major,0.0365,110.981,3/4,0.367,10.166484903955817
R&B,LEISURE,20,0.175,0.807,185173,0.594,0.0591,A,0.32,-7.945,Major,0.0295,130.086,4/4,0.83,20.298572244169623
Ska,Rancid,27,0.8,0.631,127227,0.66,0.0,D,0.137,-7.478,Major,0.0257,97.159,4/4,0.614,9.174590803131514
Soul,Palace,47,0.349,0.429,269975,0.273,0.0384,C,0.111,-9.719,Major,0.0287,110.161,3/4,0.112,10.794388426683952
Opera,Dame Joan Sutherland,10,0.963,0.249,284173,0.257,0.111,G#,0.12,-15.19,Major,0.0445,79.599,4/4,0.115,13.218463458871616
Reggae,Bob Marley & The Wailers,65,0.00499,0.939,207773,0.642,0.0,A,0.0427,-8.189,Minor,0.0525,134.709,4/4,0.967,-0.4655982778320767
Dance,Sigrid,0,0.121,0.674,217743,0.531,0.0,F#,0.197,-6.941,Minor,0.0516,129.939,4/4,0.17,27.123247834518097
Rock,HUNNY,51,0.00303,0.498,205937,0.844,0.0,G,0.355,-5.163,Minor,0.0474,103.97,4/4,0.469,9.867782615864906
Ska,Jimmy Cliff,21,0.145,0.873,191533,0.391,3.7e-05,G,0.15,-15.117,Major,0.0422,119.628,4/4,0.982,13.106809551943103
